SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
208,64,32,OK,OK,1e8801ae-f450-4542-a411-264fa1fc418a,12891
208,64,64,OK,OK,42517653-757e-4605-9acc-f1f383a8da33,9882
208,256,64,OK,OK,3284a5e1-2931-4c81-a3f8-c797aea639a9,53926
208,256,128,OK,OK,b4344db0-1ab3-4ced-bcb6-1b351e423d49,56700
208,256,256,OK,OK,02e0b8e3-5f54-401e-8043-a3e54e7221ed,48539
224,1,1,OK,OK
224,4,1,OK,OK
224,4,2,OK,OK
224,4,4,OK,OK,db4a737d-dd0a-4ebd-90ee-f8284e7693f3,675703
224,16,4,OK,OK,4b876c5a-7a3d-4440-8da9-66349347c495,140953
224,16,8,OK,OK,40915cfa-43fc-490b-beba-b1c8086bd3f5,71504
224,16,16,OK,OK,ebe62a7d-8c5f-4d92-a221-86e8c577ad2a,37114
224,64,16,OK,OK,b9ddff5d-d155-4900-9c20-5195c6fbf7da,17095
224,64,32,OK,OK,2c09797e-33d1-4daa-8b34-8b20d28cf259,13403
224,64,64,OK,OK,5930ce14-d053-4446-9d40-ea921a7d465f,9756
224,196,49,OK,OK,6fd6997c-8354-405b-af9a-78493bc7c375,46056
224,196,98,OK,OK,c41f8e96-82cf-4465-bda6-2b836459892d,40681
224,196,196,OK,OK,058af2db-11d6-43a5-8a05-ae80afc287a2,34268
224,256,64,OK,OK,7595e3df-294d-45db-a021-8a86efbc8eff,55887
224,256,128,OK,OK,38436bf4-3779-43e9-8d3a-4c8d2e0d1175,56314
224,256,256,OK,OK,19844398-f531-498a-a25b-3d64e50f1db6,48911
240,1,1,OK,OK
240,4,1,OK,OK
240,4,2,OK,OK
240,4,4,OK,OK,025547a4-3dd2-4018-9952-da63a835f693,879376
240,16,4,OK,OK,7c463b53-502b-4557-ac72-eec21559341f,180317
240,16,8,OK,OK,87c8c31e-ce34-498f-8027-7c805c5b57fd,97072
240,16,16,OK,OK,ccc26a56-6772-4dc8-bd11-0b6ed5ac5ffe,51368
240,64,16,OK,OK,d515d2ff-ebd6-40da-8dd8-3dfb2d9950d5,14469
240,64,32,OK,OK,1aa2fa95-7bb2-43e7-ba62-3ef8a28ef443,14033
240,64,64,OK,OK,21c3ea7a-520e-43ac-a9d5-e423412d50f0,10471
240,100,25,OK,OK,1ee02ba3-4046-48b0-97dc-7ce745da7894,23462
240,100,50,OK,OK,1d2931e2-18d4-4590-bd25-fc3adb0b291f,19715
240,100,100,OK,OK,44f7d026-c016-4f54-94d9-47243505cb71,15779
240,256,64,OK,OK,26f21aef-5a30-4aa0-944d-c9ff718f128c,51562
240,256,128,OK,OK,a2aacdcc-c9ac-4cd3-96dd-54469eadcb01,57117
240,256,256,OK,OK,caeda914-7f52-4b27-9eca-6010f1b87341,48884
256,1,1,OK,OK
256,4,1,OK,OK
256,4,2,OK,OK
256,4,4,OK,OK,7f20a8de-4cb0-45a6-81e1-5bb9a1e65162,1099653
256,16,4,OK,OK,f891744c-b9a5-42e6-9898-b14b4164fdfd,238245
256,16,8,OK,OK,44cedc83-1366-468f-9bf8-db4e00975776,128264
256,16,16,OK,OK,a40a6ed6-2b1a-4a25-9781-e387d17eac8f,64408
256,64,16,OK,OK,0a525a66-6f84-4406-b046-4403826d4d8c,18041
256,64,32,OK,OK,d5e51d4f-4264-4b47-a705-207037fed138,15058
256,64,64,OK,OK,25220616-07f8-4943-8345-3459ecbdf714,10680
256,256,64,OK,OK,e8a6d5b9-e180-472f-bd2c-5deafd81da5b,51584
256,256,128,OK,OK,0a699cec-3e4c-4317-9ad1-ab895231c3dd,56363
256,256,256,OK,OK,f24453ad-45df-45a4-9492-028d01ec5556,49638
