SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
240,4,4,OK,OK,d2c9529a-8204-4c08-a6b9-685036f49a45,543376
240,16,4,OK,OK,6f182157-ae2d-4fb1-97b2-bd377388de58,237387
240,16,8,OK,OK,f1a9cfd9-288f-4fb7-9072-75fe53d0c46d,66846
240,16,16,OK,OK,46072704-ee0d-410d-87b0-755c17012a0d,30631
240,64,16,OK,OK,f26b39ad-e0d1-4dc3-aa74-793ded9b32a3,15844
240,64,32,OK,OK,8a0988e4-0c02-4205-971e-97ef29f600fc,13803
240,64,64,OK,OK,207ce7a3-be6e-467e-a52a-d256c9a7414f,9796
240,100,25,OK,OK,7864e0b9-98d5-4591-a65d-e756672ad232,23935
240,100,50,OK,OK,4d35b463-4d29-43a2-96cb-a0039b482900,19763
240,100,100,OK,OK
240,256,64,OK,OK,d4e3224b-c710-4bd1-b442-0b728d8c0f9e,45492
240,256,128,OK,OK
240,256,256,OK,OK
256,1,1,OK,OK
256,4,1,OK,OK
256,4,2,OK,OK
256,4,4,OK,OK,f457924a-5940-4c58-b6db-c9cbf40f6031,709032
256,16,4,OK,OK,1fe003cf-8eb6-440c-96e4-8569a391fdd9,306978
256,16,8,OK,OK,b24668f2-ceb7-496d-a2e2-9a50c08dbc49,81153
256,16,16,OK,OK,ef371185-1df8-4e2a-a3b1-1032167a600d,40891
256,64,16,OK,OK,cadf3a73-28ef-41f5-a45d-3a07b520fbe0,16443
256,64,32,OK,OK,60466999-872f-4814-b663-8c98eeaf46f2,12866
256,64,64,OK,OK
256,256,64,OK,OK
256,256,128,OK,OK
256,256,256,OK,OK
