SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
192,16,16,OK,OK,e984d077-2115-4aec-9a9b-d58b8372c4a9,13567
192,64,16,OK,OK,8c244231-6a45-4a3d-9bd9-b6012b83f535,15078
192,64,32,OK,OK,36058d43-4452-4546-ab68-2c6440437364,5318
192,64,64,OK,OK,84cb4524-e927-4852-aa86-6bfd3a168ab9,44510
192,144,36,OK,OK,848de861-7b64-418c-8633-62484cc346cb,43875
192,144,72,OK,OK,4307aa29-76fb-4457-83e9-d65474843156,9519
192,144,144,OK,OK,20f8a9cd-62c6-4def-80b2-f8503b94941d,23471
192,256,64,OK,OK,6578fd6d-eb79-435c-a25e-c77eee8cf649,9569
192,256,128,OK,OK,f6266e1d-5f14-4cd3-a29e-08fc3c293dbf,13407
192,256,256,OK,OK,4f8a7c18-ce56-461c-9d2a-9b99050e2db3,46996
208,1,1,OK,OK
208,4,1,OK,OK
208,4,2,OK,OK
208,4,4,OK,OK,397fb1e3-6957-4e24-8a73-98af6b5a1570,358409
208,16,4,OK,OK,40b47e11-e963-4d42-ba80-8f1d9737ac7c,192588
208,16,8,OK,OK,a36ab614-8ea6-45f7-b8fe-4f44f1ca985f,17503
208,16,16,OK,OK,d1b870ab-d658-487c-994e-73a4369bdb58,17513
208,64,16,OK,OK,bec41a36-0c40-4026-94b0-b111457c0ad1,12548
208,64,32,OK,OK,468c19b2-fd51-4477-a9b5-17d1970a03b0,13512
208,64,64,OK,OK,95b51622-0750-4d1f-a3ec-8c677165708f,43015
208,256,64,OK,OK,05e4ae66-105e-4345-bd91-67d2b1566f6e,35553
208,256,128,OK,OK
208,256,256,OK,OK,dc084b7b-896d-4d3c-a684-49b3a9961e28,
224,1,1,OK,OK
224,4,1,OK,OK
224,4,2,OK,OK
224,4,4,OK,OK,c6cea8ba-17d7-486c-9acb-9716ff11c406,415465
224,16,4,OK,OK,1c5f0d3f-cee0-4b8e-9807-8f205ea8c72b,161487
224,16,8,OK,OK,77f88b47-a4a1-4d7e-9461-ec97118fc7c7,30824
224,16,16,OK,OK,d9d24463-b1b7-4ee8-80cd-2e34d074f639,23812
224,64,16,OK,OK,b58b997b-f4b8-47a5-bfe0-df2c746a6342,14583
224,64,32,OK,OK,754398d6-087c-4b01-8344-d7686910d8b7,14760
224,64,64,OK,OK,418239c1-90b8-414a-a022-6940582e4349,17783
224,196,49,OK,OK,b75535ac-6bf9-4e42-bfae-47f0ca63d180,33690
224,196,98,OK,OK,f495acdd-2bb1-4039-86ad-e5c6ba9dd3bc,26731
224,196,196,OK,OK,fbb4fa4d-3760-4926-9bc5-3f368583c1fa,44875
224,256,64,OK,OK,615dc514-0832-44e6-8bc3-e0244c32c6cb,28204
224,256,128,OK,OK
224,256,256,OK,OK,eb37bcff-0fc5-47e6-a6ad-92328e1be659,
240,1,1,OK,OK
240,4,1,OK,OK
240,4,2,OK,OK
240,4,4,OK,OK,,
240,16,4,OK,OK,,
240,16,8,OK,OK,db44abe0-a06a-48a3-8efc-7b1abe5a81d4,74622
240,16,16,OK,OK,3d156d06-4ee9-44dd-8ef4-f299380c1388,32299
240,64,16,OK,OK,764706e2-b74e-406a-9ea9-4e1f2d30f4cc,15923
240,64,32,OK,OK,22017781-8e4a-4e59-9ba3-c64b3e8f3efd,13450
240,64,64,OK,OK,05371943-60aa-433b-873a-f9e02304e0df,25883
240,100,25,OK,OK,0f87de01-f8f0-4560-893c-4dda8e500d3d,25040
240,100,50,OK,OK,26e9695d-96ee-4a5c-b309-a4722b23f641,20941
240,100,100,OK,OK,06ab1d88-5747-4647-a718-cf23cd699cb3,10548
240,256,64,OK,OK,41eaec26-6f11-4c49-bf05-08129710187c,31464
240,256,128,OK,OK
240,256,256,OK,OK,28a5c109-e47f-47e2-aac0-eb945cda7293,33938
256,1,1,OK,OK
256,4,1,OK,OK
256,4,2,OK,OK
256,4,4,OK,OK,,
256,16,4,OK,OK,,
256,16,8,OK,OK,fc624a61-a0fc-447a-ba40-0a6d3c35cee0,41142
256,16,16,OK,OK,db47e49e-0db5-4469-8b6f-b62a1278639e,42663
256,64,16,OK,OK,407df59e-25b6-4a26-83c3-f19ce9ddb29c,17292
256,64,32,OK,OK,0e55f437-3053-4baf-a3c9-eef3c04d64ce,13351
256,64,64,OK,OK,d0bd10df-42c2-48e9-9c7e-cc3af69b8d65,27971
256,256,64,OK,OK,f7bfc98f-348a-4e94-afad-c8af0bc5f9ad,34993
256,256,128,OK,OK
256,256,256,OK,OK,d41ad1c1-3f26-4ad4-8b71-8b9ba950a14c,47470
