SIZE,PARTS,WORKER,p=z²,p | k²,uuid,total
224,64,64,OK,OK,74621c57-9c82-49fb-948e-c3b6aaf7de8e,9773
224,196,49,OK,OK,3c5f7224-8b54-438d-952e-ced5d4cbb81e,45377
224,196,98,OK,OK,e14371ce-6d27-4009-8f11-7be61f14a7f5,41519
224,196,196,OK,OK,d7c69e08-8452-460e-b067-c99ea1ed94b3,34093
224,256,64,OK,OK,75c87f81-032f-46b6-af7a-8d084bb740ea,57752
224,256,128,OK,OK,d4719d6c-7af2-4530-afeb-20fb52da733b,58357
224,256,256,OK,OK,3586d6e5-c420-46c7-a13e-fd91e3a33b4b,47935
240,1,1,OK,OK
240,4,1,OK,OK
240,4,2,OK,OK
240,4,4,OK,OK,e8d6de65-ee25-490b-ad36-cb27d09470db,854695
240,16,4,OK,OK,44ff37a9-1326-4150-bebf-82607b68f5fd,179810
240,16,8,OK,OK,a5c6b292-ab3b-4a5b-854d-1ac6569d5bc7,90455
240,16,16,OK,OK,bbbff747-2452-4b3f-bd78-7b8b48e89794,49192
240,64,16,OK,OK,83e3c7fa-8b72-447c-8857-790809f9de2c,19033
240,64,32,OK,OK,3ec839dc-e3b7-4951-a743-76291e8bf263,13715
240,64,64,OK,OK,82c2747c-e949-444e-a738-5c79eb238214,10535
240,100,25,OK,OK,73e782f6-40b6-4599-8509-c1b74d24f1af,24549
240,100,50,OK,OK,786a8241-530b-4db6-8d01-7c4d7920023d,20051
240,100,100,OK,OK,c012abea-2cdf-4701-adb0-50e6ac738519,15718
240,256,64,OK,OK,e733e091-7194-4e67-a3ad-8be9683a52bd,56095
240,256,128,OK,OK,fc0ad318-8446-4165-8826-83c943ac3d72,53721
240,256,256,OK,OK,7b0f3ca7-a1b2-417f-a76b-21f75f53b6ca,48142
256,1,1,OK,OK
256,4,1,OK,OK
256,4,2,OK,OK
256,4,4,OK,OK,57df5091-a560-484e-a126-2faff2cd4cc7,1072927
256,16,4,OK,OK,c2dffe3a-caf1-4e22-ab66-80ff0ae62400,234253
256,16,8,OK,OK,e3582362-b282-419a-9488-e5f2dd7ba8e7,124429
256,16,16,OK,OK,1fa66102-a31d-41f7-a956-4cb8373fa4f4,58757
256,64,16,OK,OK,78258b43-b7a1-43b2-af76-bbea017d3e97,17464
256,64,32,OK,OK,842ba013-74c5-400d-8e38-76598e0b6424,15609
256,64,64,OK,OK,76bedd87-fde3-4845-9354-5b0d44f9b2c4,10553
256,256,64,OK,OK,62762387-d6ce-49a5-8756-5a0655254fea,55462
256,256,128,OK,OK,dcbbcb7b-c897-4491-9913-c58bea1e989d,57736
256,256,256,OK,OK,bf33469f-8c13-4db5-bb70-457952b4fb31,47459
